px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	2.33554e-316
8.45053	0.251376	3.03511	0.000681892	2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	69.226
8.4732	0.246553	2.53159	-0.034641	-0.00439568	8.56759	0.241943	8.45	0.25	0	0	655.18
8.50321	0.250331	2.45056	-0.0124262	-0.00175772	8.45582	0.253997	8.45	0.25	0	0	1600.17
8.36249	0.233916	0.188761	-0.127676	-0.0378975	8.42544	0.254042	8.35	0.25	-1.81979	0	726.191
8.32517	0.241645	0.0955971	-0.0945084	-0.0301889	8.23962	0.24916	8.25	0.25	-1.81978	0	1981.53
8.00771	0.263976	-2.82157	-0.0649533	-0.0153124	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	737.602
7.87738	0.246342	-2.83498	-0.020055	0.0750304	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1998.79
7.70501	0.222946	-2.9524	0.125536	0.19412	7.61269	0.155818	7.7	0.15	-2.99982	0	646.981
7.5741	0.181377	-2.96756	0.218272	0.262384	7.54016	0.159641	7.55	0.15	-2.99982	0	1928.41
7.47617	0.0687438	-2.80844	0.478095	0.499562	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	621.002
7.34558	0.0192612	-2.80124	0.465366	0.465604	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1863.7
7.18224	0.0184904	-2.86814	0.329686	0.17146	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	609.215
7.04045	-0.0421395	-2.8716	0.351583	0.182055	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	1765.14
6.94581	-0.158175	-2.67333	0.548816	0.780247	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	514.539
6.83004	-0.246137	-2.67654	0.604876	0.800843	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1686.67
6.71979	-0.326286	-2.68813	0.641648	0.781826	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	514.869
6.62086	-0.426412	-2.70488	0.701963	0.812623	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	1613.86
6.57758	-0.59343	-2.68697	1.00502	1.53409	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	485.133
6.51936	-0.692738	-2.65386	1.07187	1.52488	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	1593.25
6.47445	-0.853492	-2.6952	1.24691	1.7432	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	464.71
6.43862	-1.00905	-2.71528	1.35252	1.75162	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1566.87
6.32895	-1.07631	-2.5333	1.17888	1.16928	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	502.652
6.27492	-1.21613	-2.55542	1.24212	1.1628	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1489.33
6.36157	-1.42525	-2.66633	1.60369	1.73492	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	512.861
6.36978	-1.58976	-2.70645	1.69953	1.72964	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1586.84
